Evaluating agent TD-Ntuple-4 for 5000000 success against MCTS (best is 1.0): 
Agent params: maxgames=5000000,featmode=0,alpha=0.2,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-0,60,703130,910235,84412,0
100000,-0,60,1432778,1854136,169005,37542
150000,-1,00,2200923,2848562,256819,78836
200000,0,20,2971628,3842509,345307,112760
250000,-0,20,3782903,4888606,437648,186653
300000,-0,60,4583901,5916365,529255,223604
350000,-0,60,5384910,6940913,620657,299030
400000,-0,20,6161361,7927121,715890,340139
450000,-1,00,6967638,8950133,809380,369999
500000,0,60,7823022,10037487,909150,430335
550000,-1,00,8637174,11064345,1003150,476375
600000,-0,60,9532392,12196620,1104924,533566
650000,-1,00,10417443,13311595,1205526,618355
700000,-1,00,11232930,14327515,1300647,647287
750000,-0,60,12092019,15398761,1397957,726551
800000,-0,60,12931376,16439464,1492153,790227
850000,0,60,13756674,17456807,1584482,840124
900000,-1,00,14664677,18580722,1686488,895673
950000,0,60,15540253,19657438,1785020,982854
1000000,0,20,16396514,20703992,1881504,1067078
1050000,-1,00,17227540,21714222,1975650,1108365
1100000,0,20,18059834,22721494,2069925,1227806
1150000,1,00,18843290,23661996,2158782,1297831
1200000,-0,60,19683699,24672270,2253766,1342825
1250000,-0,20,20520087,25674466,2351248,1397084
1300000,0,20,21318017,26622693,2439472,1459075
1350000,1,00,22145582,27605671,2531656,1537948
1400000,-0,20,22985515,28600275,2626693,1575022
1450000,-0,60,23804878,29566808,2717424,1627421
1500000,0,60,24615353,30517976,2809311,1662807
1550000,0,60,25423524,31462550,2900226,1710950
1600000,1,00,26210359,32377154,3021088,1755732
1650000,-0,20,27087507,33402142,3119219,1786926
1700000,1,00,27882869,34321135,3206271,1820290
1750000,-0,20,28777760,35360952,3307999,1855325
1800000,-0,60,29643968,36361165,3406780,1900322
1850000,-1,00,30486336,37328705,3501093,2014101
1900000,0,20,31411437,38394215,3605654,2072578
1950000,0,20,32310451,39424203,3706238,2116441
2000000,0,20,33169808,40402322,3802510,2169829
2050000,-0,60,34026913,41374402,3897592,2241068
2100000,0,60,34923676,42390979,3997178,2280939
2150000,0,60,35830496,43416020,4098570,2322414
2200000,-0,20,36803485,44516952,4206841,2366198
2250000,-0,20,37770752,45607663,4315416,2430196
2300000,-1,00,38713308,46665156,4421341,2467188
2350000,0,60,39734959,47813685,4535803,2570003
2400000,0,20,40722611,48918280,4645595,2611589
2450000,-0,60,41770622,50088708,4767555,2645439
2500000,-0,20,42822084,51260422,4884696,2684851
2550000,-0,60,43800580,52341454,4994161,2741898
2600000,0,20,44926096,53591682,5120423,2809918
2650000,-1,00,45918500,54682340,5231556,2875818
2700000,-0,60,47059021,55941384,5362209,2965884
2750000,-0,20,47940355,56896141,5463906,3020521
2800000,-0,20,48867158,57900481,5567217,3080371
2850000,-0,20,50040821,59185694,5699195,3130575
2900000,0,20,51292159,60555066,5838918,3162733
2950000,0,20,52313519,61658019,5957770,3221852
3000000,-0,60,53619939,63081852,6103481,3297275
3050000,-1,00,54816386,64376304,6238227,3361427
3100000,-1,00,56217349,65896882,6394181,3419246
3150000,-0,20,57662910,67463028,6556463,3465134
3200000,-0,60,59056027,68965030,6718197,3503875
3250000,-1,00,60801616,70856396,6913777,3542790
3300000,-0,60,62378293,72552718,7093372,3598567
3350000,-1,00,64073322,74376040,7284927,3678173
3400000,-1,00,66153369,76619637,7518506,3791418
3450000,-0,60,67948805,78541609,7720427,3926231
3500000,-0,60,69861607,80587389,7939557,4012470
3550000,-1,00,71770235,82621739,8152569,4144084
3600000,-1,00,73711342,84684616,8375457,4200745
3650000,-1,00,75714973,86809619,8601903,4267096
3700000,-1,00,77682763,88888978,8820922,4309115
3750000,-0,20,80360091,91729366,9122683,4379791
3800000,-1,00,82577507,94064303,9371097,4428946
3850000,0,20,85447628,97094914,9685986,4509677
3900000,-1,00,88243333,100035507,10016610,4602538
3950000,-0,20,91572471,103536683,10450962,4682390
4000000,-0,20,94472844,106571901,10851595,4731183
4050000,-0,60,97547893,109780830,11265254,4771038
4100000,-0,60,100433744,112780249,11639881,4850742
4150000,-0,60,103980632,116467159,12025160,4962456
4200000,-0,20,107268900,119871990,12386759,5068191
4250000,-0,20,112032736,124812507,12925153,5205052
4300000,-1,00,116527170,129457134,13438724,5276512
4350000,-0,60,122508889,135637543,14110638,5370347
4400000,-0,60,125877213,139083698,14478972,5454279
4450000,-1,00,131745407,145109380,15137892,5568673
4500000,-0,20,136295629,149755572,15639386,5618700
4550000,-0,60,142155352,155732359,16293245,5673815
4600000,-0,20,148018385,161698022,16931685,5713789
4650000,-1,00,157694344,171544276,18016801,5754020
4700000,-0,60,161018826,174883094,18388765,5934386
4750000,-1,00,168805158,182744048,19287720,5985942
4800000,-0,60,172095343,186026044,19648452,6010663
4850000,-1,00,183399690,197405245,21098220,6084755
4900000,-1,00,212809564,226974889,24806418,6160229
4950000,-1,00,246799546,261050214,29777334,6227148
