Evaluating agent TDS for 5000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=5000000,featmode=0,alpha=0.1..0.001,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,nnet,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,364776,0,60152,0
100000,-1,00,721568,0,108101,15553
150000,-1,00,1097802,0,157897,27898
200000,-1,00,1476744,0,208289,40061
250000,-1,00,1805410,0,253939,52194
300000,-1,00,2138767,0,305200,61923
350000,-1,00,2474650,0,367227,83259
400000,-1,00,2878704,0,467264,93011
450000,-1,00,3254387,0,530114,107095
500000,-0,20,3743665,0,631096,119474
550000,-1,00,4078382,0,694880,142487
600000,-0,20,4387413,0,748330,163348
650000,0,60,4696299,0,805742,182327
700000,-1,00,4977517,0,871812,205123
750000,-0,60,5270929,0,948300,222097
800000,-0,20,5567995,0,1021120,247302
850000,-0,20,5859179,0,1075142,273005
900000,-1,00,6142614,0,1136368,295067
950000,-0,20,6426950,0,1199241,316417
1000000,-1,00,6708845,0,1256667,331122
1050000,-1,00,6996373,0,1311635,346586
1100000,-1,00,7330245,0,1400002,370260
1150000,-1,00,7693733,0,1476604,388574
1200000,-1,00,8045833,0,1572669,398458
1250000,-1,00,8410396,0,1653820,410427
1300000,-1,00,8788827,0,1738820,420362
1350000,-1,00,9152994,0,1820867,432545
1400000,-1,00,9522519,0,1905046,440225
1450000,-1,00,9948039,0,1970725,449346
1500000,-1,00,10337334,0,2028253,460939
1550000,-1,00,10761451,0,2088955,472338
1600000,-1,00,11166723,0,2150918,480756
1650000,-0,20,11490372,0,2199526,494201
1700000,-1,00,11779626,0,2250846,512282
1750000,-1,00,12091024,0,2300999,526589
1800000,-1,00,12418350,0,2351606,538867
1850000,-0,60,12694377,0,2394169,555496
1900000,-1,00,12961038,0,2437116,569484
1950000,-0,60,13228053,0,2476101,577417
2000000,-1,00,13494099,0,2514946,589779
2050000,-0,60,13759069,0,2554220,604319
2100000,-1,00,14022993,0,2592838,614662
2150000,-1,00,14290737,0,2632232,625448
2200000,-1,00,14558459,0,2669949,638659
2250000,-0,60,14833807,0,2719011,653043
2300000,-1,00,15112146,0,2772322,674348
2350000,-1,00,15387594,0,2817492,686499
2400000,-0,20,15656261,0,2883659,697551
2450000,-1,00,15927534,0,2945099,715752
2500000,-0,60,16200678,0,3018542,728924
2550000,-1,00,16474121,0,3096200,747081
2600000,-1,00,16770515,0,3170868,759690
2650000,-0,60,17115978,0,3258436,786584
2700000,-0,60,17433689,0,3340791,803284
2750000,-1,00,17718231,0,3419899,823644
2800000,-1,00,17986869,0,3497622,839013
2850000,-1,00,18255144,0,3568708,850589
2900000,-1,00,18522372,0,3641481,863114
2950000,-1,00,18790541,0,3704332,885892
3000000,-1,00,19060525,0,3780954,910140
3050000,-1,00,19329469,0,3856415,922768
3100000,-1,00,19597613,0,3926315,937234
3150000,-1,00,19867300,0,3988171,964322
3200000,-1,00,20184697,0,4074832,978578
3250000,-0,60,20572531,0,4157491,990934
3300000,-1,00,20991515,0,4226263,1002526
3350000,-1,00,21301150,0,4276689,1017003
3400000,-1,00,21703594,0,4348736,1032586
3450000,-1,00,22122446,0,4425420,1048002
3500000,-1,00,22584970,0,4498201,1064853
3550000,-1,00,23049696,0,4570620,1074297
3600000,-1,00,23601782,0,4656159,1090680
3650000,-1,00,24075675,0,4729514,1106520
3700000,-1,00,24491352,0,4795075,1120798
3750000,-0,60,24923554,0,4888775,1135559
3800000,-0,60,25378734,0,5000447,1150326
3850000,-1,00,25775343,0,5117914,1166453
3900000,-1,00,26172905,0,5222718,1179354
3950000,-1,00,26735635,0,5366429,1192229
4000000,-1,00,27233456,0,5488905,1205457
4050000,-1,00,27646718,0,5587710,1222252
4100000,-1,00,28089589,0,5656091,1236252
4150000,-1,00,28501769,0,5724246,1250743
4200000,-1,00,28888272,0,5792106,1265667
4250000,-0,60,29361977,0,5877101,1284053
4300000,-0,60,29862357,0,5960787,1298448
4350000,-0,60,30335877,0,6028776,1310764
4400000,-1,00,30805317,0,6108229,1323545
4450000,-1,00,31197837,0,6172933,1339865
4500000,-1,00,31651861,0,6245308,1352958
4550000,-1,00,32154931,0,6321671,1372638
4600000,-1,00,32691564,0,6404013,1390997
4650000,-0,60,33250332,0,6485245,1405074
4700000,-1,00,33642376,0,6545536,1416683
4750000,-0,60,34070561,0,6612026,1432581
4800000,-1,00,34459175,0,6671723,1449904
4850000,-0,60,34810507,0,6730188,1465395
4900000,-1,00,35182153,0,6785395,1481033
4950000,-1,00,35558066,0,6843975,1495970
5000000,-1,00,35930302,0,6910694,1506117
