Evaluating agent Sarsa-4 for 1000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=1000000,featmode=0,alpha=1.0..0.5,epsilon=0.1..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-0,20,665663,712344,113467,0
100000,-0,60,1310634,1398945,195536,54640
150000,-0,60,2031170,2162259,302654,85060
200000,-0,20,2659688,2825746,383863,119415
250000,-0,60,3285701,3484311,458812,154222
300000,-0,60,3908570,4136896,525655,182829
350000,-0,20,4580957,4840251,612926,219514
400000,-0,60,5216221,5501646,685616,253020
450000,-0,20,5815265,6124949,764017,273637
500000,-0,60,6449668,6780989,845378,327830
550000,-0,60,7157368,7510661,938950,352294
600000,-0,20,7814903,8187719,1042079,389834
650000,-0,60,8453073,8842352,1132290,439010
700000,0,20,9058892,9461153,1197007,467329
750000,-0,20,9623730,10035896,1266107,516354
800000,-0,60,10382276,10805145,1341040,560898
850000,-0,20,10981004,11409988,1394588,581074
900000,-0,20,11660612,12094876,1462094,609851
950000,-1,00,12923302,13363796,1603055,643245
1000000,0,20,13853491,14295753,1732485,673613
