Evaluating agent Qlearn-4 for 1000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=1000000,featmode=0,alpha=1.0..0.5,epsilon=0.1..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,1357821,1463180,355863,0
100000,-0,60,3535882,3815945,1642361,137210
150000,-0,20,5906257,6367485,2961996,366300
200000,-0,20,8394473,9033147,4387306,619942
250000,-1,00,11169139,11996006,6098089,877085
300000,-0,60,14131727,15145670,7837510,1030686
350000,-1,00,17177310,18367198,9674147,1326863
400000,-0,20,20393579,21755737,10277303,1506486
450000,-1,00,23731195,25256470,10709681,1575026
500000,-0,60,27268685,28952524,11197898,1628578
550000,-0,60,31196493,33040286,11677244,1674258
600000,-1,00,35485831,37485780,12200088,1710539
650000,-1,00,39836409,41973593,12727751,1754138
700000,-0,60,45598026,47895934,13433335,1785410
750000,-0,60,51735164,54178022,14199483,1817583
800000,-0,60,57611207,60168475,14922393,1849802
850000,-0,60,66603472,69296921,16065051,1879003
900000,-1,00,76171039,78970396,17333888,1907842
950000,-1,00,77139726,79945249,17459854,1928221
1000000,-1,00,78064958,80872546,17611701,1975877
