Evaluating agent TDS for 1000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=1000000,featmode=0,alpha=0.1..0.001,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-0,60,380488,0,90475,0
100000,-0,60,778423,0,194841,35536
150000,-1,00,1165733,0,280533,58901
200000,-0,60,1576228,0,374247,85827
250000,-1,00,1966048,0,472741,121496
300000,-0,60,2335161,0,559348,148582
350000,-1,00,2705335,0,634010,168478
400000,-1,00,3087664,0,710841,189381
450000,-1,00,3474567,0,789098,208599
500000,-0,60,3868971,0,874337,228081
550000,-0,60,4252082,0,957724,249044
600000,-0,60,4699029,0,1048478,276270
650000,-1,00,5145959,0,1136262,298176
700000,-0,20,5861025,0,1274497,320847
750000,-0,60,6296487,0,1361210,350204
800000,0,20,6708323,0,1450729,384998
850000,-1,00,7108559,0,1537816,431275
900000,-1,00,7500422,0,1618976,465619
950000,-1,00,7878872,0,1695768,492062
1000000,-0,60,8237238,0,1765135,510607
