Evaluating agent TD-Ntuple-4 for 5000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=5000000,featmode=0,alpha=0.2,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,3437621,4806222,1751730,0
100000,-1,00,7067370,9865190,3498961,253131
150000,-1,00,10687513,14889436,5078161,701813
200000,-1,00,14339012,19939523,6497582,1078320
250000,-1,00,17985982,24959178,7877509,1375590
300000,-1,00,21602681,29916137,9240176,1642354
350000,-1,00,25362375,35051971,10656877,1922856
400000,-1,00,29183878,40252948,12097484,2160491
450000,-1,00,33007446,45436506,13644990,2443033
500000,-1,00,36919067,50719411,15227807,2708762
550000,-1,00,40833297,55983161,16681965,2992397
600000,-1,00,44783822,61275365,17944339,3151888
650000,-1,00,48801063,66637257,19241102,3339901
700000,-1,00,52866639,72042268,20542375,3552757
750000,-1,00,56865966,77337716,21825529,3856945
800000,-0,60,61028114,82830185,23142264,4044102
850000,-1,00,65248357,88377551,24542472,4325148
900000,-1,00,69510642,93958435,25950870,4640100
950000,-0,60,73873069,99651556,27330994,4777747
1000000,-1,00,78078810,105115436,28657075,4974021
1050000,-1,00,82355408,110651101,29964332,5170957
1100000,-1,00,86791852,116371767,31312557,5379132
1150000,-1,00,91343160,122223029,32678681,5549433
1200000,-1,00,95760750,127876965,34022346,5760216
1250000,-1,00,100419313,133819404,35433113,5944722
1300000,-1,00,105220779,139924335,36911080,6116176
1350000,-1,00,109855670,145790955,38338971,6284573
1400000,-1,00,114632267,151817161,39769482,6424753
1450000,-1,00,119472613,157900259,41214839,6584845
1500000,-1,00,124315973,163965496,42673767,6711860
1550000,-1,00,129095649,169929411,44096062,6848289
1600000,-1,00,134050375,176091386,45586766,6999139
1650000,-1,00,139097679,182343872,47105859,7105709
1700000,-1,00,144027433,188427265,48572534,7244935
1750000,-0,60,149090974,194651959,50104808,7427985
1800000,-1,00,154432450,201199834,51712304,7565559
1850000,-1,00,159827605,207790971,53334526,7730050
1900000,-1,00,165244307,214387239,54952602,7922877
1950000,-1,00,170921734,221277073,56806855,8087644
2000000,-1,00,176754728,228334310,58666701,8319157
2050000,-1,00,182435439,235178236,60398739,8451746
2100000,-1,00,188473704,242429503,62275193,8683620
2150000,-1,00,194302003,249401027,64070548,8815079
2200000,-1,00,200133738,256353551,65848027,8996599
2250000,-1,00,205903816,263207273,68355558,9188827
2300000,-1,00,211718078,270086849,70433742,9319452
2350000,-1,00,217782615,277241705,72494464,9492508
2400000,-1,00,224203508,284791926,74733540,9666867
2450000,-1,00,230686645,292391630,77105250,9812361
2500000,-1,00,237426788,300268495,79533416,9987134
2550000,-1,00,243954526,307867747,82280963,10209532
2600000,-1,00,250603172,315581225,85568959,10475709
2650000,-1,00,257513316,323574947,89573064,10669085
