Evaluating agent TD-Ntuple-4 for 5000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=5000000,featmode=0,alpha=0.2,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,1524438,2152948,405259,0
100000,-1,00,3034144,4275806,818821,159931
150000,-1,00,4555383,6403709,1315911,296515
200000,-1,00,6083166,8533975,1857925,506557
250000,-1,00,7617866,10665765,2339470,758937
300000,-0,60,9176121,12818219,2797529,999166
350000,-1,00,10720598,14947839,3249495,1233478
400000,-1,00,12287735,17097528,3719694,1380957
450000,-1,00,13847261,19228985,4170217,1577983
500000,-1,00,15422259,21373743,4653753,1785709
550000,-1,00,17018643,23536731,5206815,1955097
600000,-1,00,18618139,25694888,5744934,2166015
650000,-0,60,20219094,27846706,6284117,2395012
700000,-1,00,21824298,29995564,6824891,2557185
750000,-1,00,23440941,32151946,7379435,2719789
800000,-1,00,25068515,34315402,7977903,2945117
850000,-1,00,26692078,36464169,8585348,3210642
900000,-1,00,28329093,38621703,9184266,3386576
950000,-1,00,29979801,40790191,9818934,3598727
1000000,-1,00,31640858,42963914,10430736,3785970
1050000,-1,00,33326188,45161294,10992632,4190016
1100000,-1,00,35014325,47353392,11542843,4402973
1150000,-1,00,36692632,49526429,12036614,4607558
1200000,-1,00,38377154,51696784,12480036,4790703
1250000,-1,00,40073918,53874006,12937939,4883477
1300000,-1,00,41780378,56058122,13439861,5047401
1350000,-1,00,43496615,58247508,13923548,5203789
1400000,-1,00,45221345,60439321,14448840,5371233
1450000,-1,00,46951700,62627234,14958117,5560489
1500000,-1,00,48698170,64829298,15447484,5766893
1550000,-0,20,50449613,67028833,15975365,5956809
1600000,-1,00,52222722,69247125,16512429,6089703
1650000,-1,00,54004842,71468357,17045075,6239666
1700000,-1,00,55796839,73693820,17551643,6421041
1750000,-1,00,57591027,75914132,18058388,6551912
1800000,-0,60,59400319,78146173,18578362,6710575
1850000,-1,00,61216682,80378307,19101287,6879423
1900000,-1,00,63034722,82604914,19618660,7034139
1950000,-1,00,64866225,84840085,20148794,7190271
2000000,-1,00,66711797,87083069,20674259,7355529
2050000,-1,00,68552059,89311650,21228585,7462136
2100000,-1,00,70401857,91543977,21749642,7753916
2150000,-1,00,72257769,93776217,22267126,7937438
2200000,-1,00,74141958,96034598,22798036,8153357
2250000,-0,60,76027860,98285861,23371844,8327388
2300000,-1,00,77914907,100531782,23926308,8577704
2350000,-1,00,79815176,102785522,24470155,8757561
2400000,-1,00,81732497,105053005,25017663,8901210
2450000,-1,00,83666384,107331123,25585832,9029003
2500000,-1,00,85596762,109597227,26145138,9265047
2550000,-1,00,87532345,111863145,26712944,9372801
2600000,-0,60,89492546,114148861,27276330,9578759
2650000,-1,00,91462715,116437937,27850202,9788940
2700000,-1,00,93440846,118727809,28435379,9965292
2750000,-1,00,95428736,121022188,28990360,10126350
2800000,-1,00,97430604,123325479,29549227,10332014
2850000,-1,00,99437752,125626647,30127189,10478698
2900000,-1,00,101454251,127930243,30695692,10608473
2950000,-1,00,103476958,130233870,31254811,10755098
3000000,-1,00,105506447,132537340,31862045,10887308
3050000,-1,00,107552188,134852769,32464794,11217093
3100000,-1,00,109622600,137185768,33044684,11516743
3150000,-1,00,111695572,139513875,33638832,11620463
3200000,-1,00,113777117,141845307,34243973,11733689
3250000,-1,00,115875087,144186178,34845378,11971485
3300000,-1,00,117978219,146527083,35467123,12164907
3350000,-1,00,120099819,148879959,36081161,12310833
3400000,-1,00,122227916,151232260,36696023,12511510
3450000,-1,00,124371579,153593595,37293326,12713539
3500000,-1,00,126511898,155943929,37903810,12914416
3550000,-1,00,128665980,158302145,38512505,13111252
3600000,-1,00,130835132,160669844,39157083,13321185
3650000,-0,60,133009919,163036134,39796668,13457929
3700000,-1,00,135205918,165417007,40435495,13593918
3750000,-1,00,137403678,167792758,41064205,13738933
3800000,-1,00,139611617,170172039,41675715,13879208
3850000,-1,00,141837718,172563173,42289643,14083812
3900000,-1,00,144078292,174963288,42929214,14293361
3950000,-1,00,146326911,177364291,43578055,14444892
4000000,-1,00,148583137,179765112,44230037,14570561
4050000,-1,00,150858780,182178222,44854975,14717661
4100000,-1,00,153149075,184599810,45512566,14884998
4150000,-1,00,155449576,187024551,46156383,15023091
4200000,-1,00,157758102,189450600,46819272,15199757
4250000,-0,60,160083272,191886817,47473495,15390839
4300000,-1,00,162416316,194324223,48101092,15551543
4350000,-1,00,164757366,196762299,48783391,15688543
4400000,-1,00,167113380,199207847,49453918,15861522
4450000,-1,00,169486563,201664399,50093678,16004683
4500000,-1,00,171866426,204119902,50760178,16098822
4550000,-1,00,174258144,206580318,51370674,16377459
4600000,-1,00,176661160,209044998,52065406,16560527
4650000,-1,00,179073134,211511644,52753842,16787330
4700000,-1,00,181496076,213981760,53479749,16965889
4750000,-1,00,183930800,216456414,54206570,17097064
4800000,-1,00,186378789,218937199,54937524,17264968
4850000,-1,00,188839028,221422996,55651935,17448570
4900000,-1,00,191311316,223913749,56377430,17589616
4950000,-1,00,193795186,226408774,57113455,17728401
5000000,-1,00,196290171,228907502,57865075,17857897
