Evaluating agent TD-Ntuple-4 for 3000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=3000000,featmode=0,alpha=0.2,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,1518155,2140681,410893,0
100000,-1,00,3034313,4260619,822566,252239
150000,-1,00,4576743,6406123,1261573,361441
200000,-1,00,6135658,8559120,1837895,725499
250000,-1,00,7702910,10709203,2328126,829869
300000,-1,00,9276631,12854389,2836915,1032731
350000,-1,00,10864054,15003476,3335616,1183430
400000,-1,00,12461126,17151101,3838797,1319588
450000,-1,00,14083494,19318195,4306891,1490709
500000,-1,00,15717508,21487774,4782835,1733868
550000,-1,00,17360284,23655564,5245351,1938295
600000,-1,00,19020976,25831847,5735969,2174050
650000,-1,00,20699249,28017160,6265671,2306044
700000,-1,00,22387746,30202586,6845265,2493217
750000,-1,00,24098019,32401589,7412174,2744188
800000,-1,00,25808157,34586302,7924058,2950182
850000,-1,00,27532528,36775453,8465351,3119297
900000,-1,00,29270820,38968979,9061056,3307700
950000,-1,00,31016585,41158288,9658772,3594213
1000000,-1,00,32786033,43364630,10306597,3749175
1050000,-1,00,34567218,45573564,10892953,3975648
1100000,-1,00,36372733,47797504,11406676,4155714
1150000,-1,00,38191316,50025654,12011535,4372037
1200000,-1,00,40016654,52247370,12522703,4493464
1250000,-1,00,41863783,54483073,13067364,4612878
1300000,-1,00,43725863,56723962,13555241,4799476
