QLearn4Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
QLearn4Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0
from: Unknown
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ; 
0; 500; -0.1; 0.0; 3388; 3388; 0.807; 4198.265179677819; 0.0; 0.0
0; 1000; -0.15; 0.0; 7520; 7520; 1.458; 5157.750342935528; 0.0; 0.0
0; 1500; 0.0; 0.0; 11729; 11729; 2.011; 5832.421680755842; 0.0; 0.0
0; 2000; 0.0; 0.0; 15961; 15961; 2.64; 6045.833333333333; 0.0; 0.0
0; 2500; -0.1; 0.0; 20185; 20185; 3.403; 5931.531002057009; 0.0; 0.0
0; 3000; -0.1; 0.0; 24401; 24401; 3.966; 6152.546646495209; 0.0; 0.0
0; 3500; -0.15; 0.0; 28763; 28763; 4.471; 6433.236412435696; 0.0; 0.0
0; 4000; 0.0; 0.0; 33053; 33053; 5.041; 6556.833961515572; 0.0; 0.0
0; 4500; 0.0; 0.0; 37325; 37325; 5.628; 6632.018479033404; 0.0; 0.0
0; 5000; 0.0; 0.0; 41647; 41647; 6.18; 6738.996763754046; 0.0; 0.0
0; 5500; 0.0; 0.0; 45993; 45993; 6.678; 6887.241689128482; 0.0; 0.0
0; 6000; -0.1; -0.5; 50377; 50377; 7.251; 6947.593435388222; 0.0; 0.0
0; 6500; 0.0; 0.0; 54772; 54772; 7.814; 7009.470181725109; 0.0; 0.0
0; 7000; 0.0; 0.0; 59166; 59166; 8.329; 7103.613879217192; 0.0; 0.0
0; 7500; 0.0; 0.0; 63568; 63568; 8.848; 7184.448462929475; 0.0; 0.0
0; 8000; 0.0; 0.0; 67989; 67989; 9.494; 7161.259742995577; 0.0; 0.0
0; 8500; -0.1; 0.0; 72421; 72421; 10.038; 7214.684200039848; 0.0; 0.0
0; 9000; -0.05; 0.0; 76878; 76878; 10.615; 7242.392840320302; 0.0; 0.0
0; 9500; 0.0; 0.0; 81369; 81369; 11.166; 7287.211176786674; 0.0; 0.0
0; 10000; 0.0; 0.0; 85865; 85865; 11.69; 7345.166809238666; 0.0; 0.0
1; 500; -0.7; -1.0; 3524; 3524; 0.512; 6882.8125; 0.0; 0.0
1; 1000; -0.15; 0.0; 7456; 7456; 1.051; 7094.1960038059; 0.0; 0.0
1; 1500; -0.05; -0.5; 11639; 11639; 1.645; 7075.379939209726; 0.0; 0.0
1; 2000; 0.0; 0.0; 15909; 15909; 2.211; 7195.38670284939; 0.0; 0.0
1; 2500; -0.1; 0.0; 20202; 20202; 2.657; 7603.312006021829; 0.0; 0.0
1; 3000; -0.05; 0.0; 24492; 24492; 3.176; 7711.586901763224; 0.0; 0.0
1; 3500; 0.0; 0.0; 28783; 28783; 3.658; 7868.507381082559; 0.0; 0.0
1; 4000; 0.0; 0.0; 33126; 33126; 4.176; 7932.471264367816; 0.0; 0.0
1; 4500; -0.2; 0.0; 37420; 37420; 4.709; 7946.485453387131; 0.0; 0.0
1; 5000; 0.0; 0.0; 41776; 41776; 5.334; 7832.020997375329; 0.0; 0.0
1; 5500; -0.1; 0.0; 46102; 46102; 5.895; 7820.525869380832; 0.0; 0.0
1; 6000; 0.0; 0.0; 50465; 50465; 6.454; 7819.181902696003; 0.0; 0.0
1; 6500; -0.1; 0.0; 54849; 54849; 6.987; 7850.1502790897375; 0.0; 0.0
1; 7000; 0.0; 0.0; 59253; 59253; 7.549; 7849.119088621009; 0.0; 0.0
1; 7500; -0.2; -0.5; 63671; 63671; 8.149; 7813.351331451713; 0.0; 0.0
1; 8000; 0.0; 0.0; 68101; 68101; 8.738; 7793.659876401923; 0.0; 0.0
1; 8500; -0.05; 0.0; 72566; 72566; 9.304; 7799.441100601892; 0.0; 0.0
1; 9000; 0.0; 0.0; 77025; 77025; 9.945; 7745.098039215686; 0.0; 0.0
1; 9500; 0.0; 0.0; 81511; 81511; 10.524; 7745.24895477005; 0.0; 0.0
1; 10000; 0.0; 0.0; 86007; 86007; 11.141; 7719.863567004757; 0.0; 0.0
2; 500; -0.5; -0.5; 3938; 3938; 0.534; 7374.531835205992; 0.0; 0.0
2; 1000; 0.0; 0.0; 8082; 8082; 1.133; 7133.274492497793; 0.0; 0.0
2; 1500; 0.0; 0.0; 12214; 12214; 1.705; 7163.636363636363; 0.0; 0.0
2; 2000; 0.0; 0.0; 16353; 16353; 2.234; 7320.0537153088635; 0.0; 0.0
2; 2500; 0.0; 0.0; 20567; 20567; 2.74; 7506.204379562043; 0.0; 0.0
2; 3000; 0.0; 0.0; 24860; 24860; 3.272; 7597.799511002446; 0.0; 0.0
2; 3500; -0.05; -0.5; 29059; 29059; 3.768; 7712.048832271763; 0.0; 0.0
2; 4000; -0.05; 0.0; 33264; 33264; 4.428; 7512.195121951219; 0.0; 0.0
2; 4500; 0.0; 0.0; 37520; 37520; 5.032; 7456.279809220986; 0.0; 0.0
2; 5000; -0.05; 0.0; 41859; 41859; 5.583; 7497.581945190757; 0.0; 0.0
2; 5500; 0.0; 0.0; 46170; 46170; 6.188; 7461.215255332902; 0.0; 0.0
2; 6000; 0.0; 0.0; 50521; 50521; 6.707; 7532.57790368272; 0.0; 0.0
2; 6500; 0.0; 0.0; 54882; 54882; 7.228; 7592.9717764250145; 0.0; 0.0
2; 7000; 0.0; 0.0; 59243; 59243; 7.793; 7602.078788656487; 0.0; 0.0
2; 7500; 0.0; 0.0; 63631; 63631; 8.312; 7655.31761308951; 0.0; 0.0
2; 8000; 0.0; 0.0; 68073; 68073; 8.89; 7657.255343082114; 0.0; 0.0
2; 8500; 0.0; 0.0; 72506; 72506; 9.483; 7645.892650005272; 0.0; 0.0
2; 9000; 0.0; 0.0; 76964; 76964; 10.146; 7585.649517051054; 0.0; 0.0
2; 9500; 0.0; 0.0; 81433; 81433; 11.62; 7008.003442340792; 0.0; 0.0
2; 10000; 0.0; 0.0; 85927; 85927; 12.945; 6637.852452684434; 0.0; 0.0
